net,length_um
net8,816.5
net7,688.78
net9,448.87
net10,391.49
net6,382.58
net12,374.13
net11,372.18
_034_,365.12
net5,352.14
_055_,344.5
fsm_plant_opt.state_temperature_synth_0,241.75
fsm_plant_opt.state_temperature_synth_2,237.88
fsm_plant_opt.tmp2410,226.29
fsm_plant_opt.state_temperature_synth_1,224.29
fsm_plant_opt.state_water_synth_0,221.91
fsm_plant_opt.state_water_synth_1,219.81
fsm_plant_opt.tmp3553,201.65
fsm_plant_opt.tmp2411,197.17
fsm_plant_opt.tmp2409,196.61
fsm_plant_opt.tmp3554,194.66
fsm_plant_opt.state_water_synth_2,190.89
fsm_plant_opt.tmp3555,184.34
_037_,176.13
_004_,82.93
_008_,79.57
_048_,67.91
_019_,66.74
_043_,62.98
_016_,55.46
_015_,48.13
_035_,43.12
_010_,42.61
_006_,42.56
net1,40.37
_012_,38.93
_031_,37.57
_005_,35.01
net4,35.01
clknet_1_0__leaf_wb_clk_i,34.82
_002_,34.21
_000_,32.77
_011_,29.78
wb_clk_i,27.64
_001_,27.49
_038_,27.44
_026_,25.25
_032_,24.69
io_in[3],24.55
_014_,23.62
_017_,23.57
wbs_sel_i[0],22.92
_009_,22.74
net2,22.64
io_in[2],22.31
_040_,21.01
_049_,20.82
_057_,20.72
wbs_sel_i[1],20.31
io_in[0],20.02
_022_,19.6
net85,19.51
io_out[0],19.46
io_oeb[1],18.9
wbs_we_i,18.63
io_oeb[0],18.34
net13,18.34
io_in[1],17.78
wbs_sel_i[2],17.51
net24,17.22
net29,17.22
net34,17.22
net39,17.22
net14,17.22
net44,17.22
net49,17.22
net19,17.22
net59,17.22
net64,17.22
net69,17.22
net74,17.22
net79,17.22
net84,17.22
net54,17.22
_020_,16.34
_024_,16.24
net22,16.1
net23,16.1
net25,16.1
net26,16.1
net27,16.1
net28,16.1
net30,16.1
net31,16.1
net32,16.1
net33,16.1
net35,16.1
net36,16.1
net37,16.1
net38,16.1
net40,16.1
net41,16.1
net42,16.1
net43,16.1
net45,16.1
net46,16.1
net47,16.1
net48,16.1
net15,16.1
net16,16.1
net17,16.1
net18,16.1
net20,16.1
net21,16.1
net60,16.1
net61,16.1
net62,16.1
net63,16.1
net65,16.1
net66,16.1
net67,16.1
net68,16.1
net50,16.1
net70,16.1
net71,16.1
net72,16.1
net73,16.1
net75,16.1
net76,16.1
net77,16.1
net78,16.1
net51,16.1
net80,16.1
net81,16.1
net82,16.1
net83,16.1
net52,16.1
net53,16.1
net55,16.1
net56,16.1
net57,16.1
net58,16.1
clknet_0_wb_clk_i,15.68
wb_rst_i,15.54
clknet_1_1__leaf_wb_clk_i,15.36
_003_,15.22
_041_,14.61
_025_,14.05
_027_,14
_044_,13.44
_036_,12.93
_056_,12.93
net3,12.93
_028_,12.1
_033_,11.86
_042_,11.35
_046_,11.3
_054_,8.96
_030_,8.4
_045_,8.4
_013_,7.84
_029_,6.72
_052_,6.72
_023_,5.14
_050_,4.48
_039_,4.02
_053_,3.92
_051_,3.36
_018_,2.8
_021_,2.8
_047_,2.8
_007_,2.24
